id,paper_id,probiotic_strain,health_condition,correlation_type,correlation_strength,effect_size,sample_size,study_duration,study_type,dosage,population_details,confidence_score,supporting_quote,extraction_model,extraction_timestamp,validation_status,validation_issues,verification_model,verification_timestamp,verification_confidence,human_reviewed,title,publication_date
87,37539311,Not specified,constipation,inconclusive,0.0,,,,meta_analysis,,,0.5,Several clinical studies have investigated the beneficial effects of probiotics on cognitive impairment and constipation in elderly,llama-3.3-70b-versatile,2025-08-25 16:39:48,pending,,,,,0,Impact of probiotics on cognition and constipation in the elderly: A meta-analysis.,2023-Jul
93,37992712,Bifidobacterium longum,functional constipation (FC),positive,0.8,,,,"double-blind, randomized, placebo-controlled clinical trial",,,0.9,"supplementation with abfA-cluster-carrying B. longum, but not an abfA-deficient strain, enriched arabinan-utilization residents, increased beneficial metabolites, and improved FC symptoms",llama-3.3-70b-versatile,2025-08-25 16:40:03,pending,,,,,0,A key genetic factor governing arabinan utilization in the gut microbiome alleviates constipation.,2023-Dec-13
96,35559625,probiotics,constipation,neutral,0.0,,,,,,,0.5,Increasing dietary fiber and fluid intake above usual daily recommendations and adding probiotics provide no additional benefits for treating constipation,llama-3.3-70b-versatile,2025-08-25 16:40:32,pending,,,,,0,Constipation in Children and Adolescents: Evaluation and Treatment.,2022-May-01
97,35927504,Multistrain probiotics,Functional constipation,positive,0.5,,,,RCT,,,0.8,This study aimed to evaluate the efficacy and safety of selected multistrain probiotics on functional constipation,llama-3.3-70b-versatile,2025-08-25 16:40:48,pending,,,,,0,The effect of multistrain probiotics on functional constipation in the elderly: a randomized controlled trial.,2022-Dec
101,35350100,Not specified,Constipation,positive,0.5,,,,RCT,,,0.5,"THW in postoperative thyroid cancer patients who need always accompanied by complications (e.g., dyslipidemia and constipation)",llama-3.3-70b-versatile,2025-08-25 16:40:51,pending,,,,,0,Randomized Clinical Trial: Probiotics Alleviated Oral-Gut Microbiota Dysbiosis and Thyroid Hormone Withdrawal-Related Complications in Thyroid Cancer Patients Before Radioiodine Therapy Following Thyroidectomy.,2022
102,34209804,Not specified,constipation,inconclusive,0.0,,,,Not specified,,,0.0,"Probiotics have been shown to benefit patients with constipation and depression, but whether they specifically alleviate constipation in patients with depression remains unclear.",llama-3.3-70b-versatile,2025-08-25 16:40:54,pending,,,,,0,Effects of Fermented Milk Containing ,2021-Jun-29
104,33046607,Not specified,Constipation in Parkinson disease,inconclusive,0.0,,,,RCT,,,0.0,"To determine whether probiotics are effective for constipation, a common and often difficult-to-treat problem, in Parkinson disease (PD)",llama-3.3-70b-versatile,2025-08-25 16:41:05,pending,,,,,0,Probiotics for Constipation in Parkinson Disease: A Randomized Placebo-Controlled Study.,2021-Feb-02
105,32738573,Multispecies probiotic,Intestinal constipation,positive,0.5,,,,RCT,,,0.8,The aim of this study was to evaluate the effect of a multispecies probiotic on gut microbiota composition and constipation symptoms.,llama-3.3-70b-versatile,2025-08-25 16:41:14,pending,,,,,0,"Effect of multispecies probiotic on gut microbiota composition in individuals with intestinal constipation: A double-blind, placebo-controlled randomized trial.",2020-Oct
110,32048977,Bifidobacterium,Constipation,positive,0.7,,,,RCT,,,0.6,"Gut microbiota such as Bifidobacterium, Clostridium, Bacteroidetes, and Lactobacilli have been demonstrated in functional gastrointestinal disorders and prebiotics to play a role in augmenting their presence",llama-3.3-70b-versatile,2025-08-25 16:41:28,pending,,,,,0,Therapeutic Effects of Prebiotics on Constipation: A Schematic Review.,2020
111,32048977,Clostridium,Constipation,positive,0.7,,,,RCT,,,0.6,"Gut microbiota such as Bifidobacterium, Clostridium, Bacteroidetes, and Lactobacilli have been demonstrated in functional gastrointestinal disorders and prebiotics to play a role in augmenting their presence",llama-3.3-70b-versatile,2025-08-25 16:41:28,pending,,,,,0,Therapeutic Effects of Prebiotics on Constipation: A Schematic Review.,2020
112,32048977,Bacteroidetes,Constipation,positive,0.7,,,,RCT,,,0.6,"Gut microbiota such as Bifidobacterium, Clostridium, Bacteroidetes, and Lactobacilli have been demonstrated in functional gastrointestinal disorders and prebiotics to play a role in augmenting their presence",llama-3.3-70b-versatile,2025-08-25 16:41:28,pending,,,,,0,Therapeutic Effects of Prebiotics on Constipation: A Schematic Review.,2020
113,32048977,Lactobacilli,Constipation,positive,0.7,,,,RCT,,,0.6,"Gut microbiota such as Bifidobacterium, Clostridium, Bacteroidetes, and Lactobacilli have been demonstrated in functional gastrointestinal disorders and prebiotics to play a role in augmenting their presence",llama-3.3-70b-versatile,2025-08-25 16:41:28,pending,,,,,0,Therapeutic Effects of Prebiotics on Constipation: A Schematic Review.,2020
118,30625189,Bifidobacterium infantis,Chronic constipation,positive,0.5,,8.0,12 weeks,RCT,,,0.6,Some participants on both treatments saw a reduction in the frequency of certain GI symptoms,llama-3.3-70b-versatile,2025-08-25 16:41:45,pending,,,,,0,Pilot study of probiotic/colostrum supplementation on gut function in children with autism and gastrointestinal symptoms.,2019
120,29227175,Bifidobacterium animalis subsp. lactis HN019,functional constipation,positive,0.8,,,28-day,RCT,1 × 10,,0.9,Bifidobacterium animalis subsp. lactis HN019 (HN019) ameliorates chronic idiopathic constipation,llama-3.3-70b-versatile,2025-08-25 16:41:54,pending,,,,,0,"Effects of 28-day Bifidobacterium animalis subsp. lactis HN019 supplementation on colonic transit time and gastrointestinal symptoms in adults with functional constipation: A double-blind, randomized, placebo-controlled, and dose-ranging trial.",2018
121,28507013,Bifidobacteria,Constipation,negative,0.7,,,,human studies,,,0.6,adults with functional constipation have significantly decreased numbers of bifidobacteria,llama-3.3-70b-versatile,2025-08-25 16:42:02,pending,,,,,0,Mechanisms of Action of Probiotics and the Gastrointestinal Microbiota on Gut Motility and Constipation.,2017-May
122,27543643,Not specified,Constipation associated with Parkinson disease,inconclusive,0.0,,,,RCT,,,0.0,Our objective was to evaluate the efficacy of probiotics and prebiotics in patients with Parkinson disease (PD) and constipation.,llama-3.3-70b-versatile,2025-08-26 17:00:01,pending,,,,,0,Probiotics and prebiotic fiber for constipation associated with Parkinson disease: An RCT.,2016-Sep-20
