entity_type,original_term,frequency,suggested_canonical,confidence,method,canonical_id,notes
condition,prediabetes,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,psychological distress,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,"rheumatoid arthritis, osteoarthritis",3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,transperineal prostate biopsy in elderly men,3,transperineal prostate biopsy in elderly men,0.95,exact_normalized,713,Safe pattern/exact matching
condition,treatment-resistant depression (TRD),3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,uncomplicated type B aortic dissection (uTBAD),3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,visceral pain,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,"visceral pain, functional gastrointestinal disorders",3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,Aortic stenosis with concomitant coronary artery disease,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,Chronic Coronary Disease,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,Contrast-associated acute kidney injury (CA-AKI),2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,Gestational Diabetes Mellitus (GDM),2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,HR-QoL,2,HR-QoL,0.95,exact_normalized,662,Safe pattern/exact matching
condition,Helicobacter pylori infection,2,Helicobacter pylori infection,0.95,exact_normalized,743,Safe pattern/exact matching
condition,Irritable bowel syndrome (IBS),2,Irritable Bowel Syndrome,0.95,exact_normalized,817,Safe pattern/exact matching
condition,RET-altered thyroid cancer,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,SARS-CoV-2 infection,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,ST-elevation myocardial infarction (STEMI) with multivessel coronary artery disease (MVD),2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,ST-segment elevation myocardial infarction and multivessel disease,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,Type 2 diabetes,2,type 2 diabetes (T2DM),0.9,spacing_punctuation_normalization,623,Safe pattern/exact matching
condition,acute calcium pyrophosphate (CPP) crystal arthritis,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,acute calcium pyrophosphate arthritis,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,acute coronary syndrome,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,acute coronary syndrome (ACS),2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,acute myocardial infarction (AMI),2,acute myocardial infarction (AMI),0.9,spacing_punctuation_normalization,774,Safe pattern/exact matching
condition,acutely decompensated heart failure,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,angina pectoris of coronary heart disease,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,anxiety,2,anxiety,0.95,exact_normalized,775,Safe pattern/exact matching
condition,anxiety disorder,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,aortic stenosis,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,aortic valve stenosis,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,atherosclerosis,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,atherosclerotic cardiovascular disease,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,atherosclerotic cardiovascular disease (ASCVD),2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,atrial fibrillation with heart failure,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,"atrial fibrillation, stable coronary artery disease",2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,breast cancer,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,cardiovascular complications in patients with atrial fibrillation,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,cardiovascular disease (CVD),2,Cardiovascular Disease,0.95,exact_normalized,822,Safe pattern/exact matching
condition,chronic coronary syndrome,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,chronic coronary syndrome (CCS),2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,cognitive dysfunction,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,congenital heart disease (CHD),2,congenital heart disease,0.95,exact_normalized,712,Safe pattern/exact matching
condition,contrast-associated acute kidney injury (CA-AKI),2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,coronary heart disease angina pectoris,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,coronary heart disease with angina pectoris after percutaneous coronary intervention,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,depression and anxiety associated with life threatening illness,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,diabetes mellitus,2,diabetes mellitus,0.95,exact_normalized,635,Safe pattern/exact matching
condition,diabetic foot osteomyelitis,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,diabetic ketoacidosis (DKA),2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,diuretic resistance in acute heart failure,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,dysbiotic microbiota,2,dysbiotic microbiota,0.95,exact_normalized,756,Safe pattern/exact matching
condition,exclusive breastfeeding (EBF),2,exclusive breastfeeding (EBF),0.9,spacing_punctuation_normalization,630,Safe pattern/exact matching
condition,functional abdominal pain (FAP),2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,functional dyspepsia,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,functional gastrointestinal disorders (FGIDs),2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,gut microbiota regulation,2,gut microbiota regulation,0.95,exact_normalized,682,Safe pattern/exact matching
condition,heart failure (HF),2,heart failure (HFmrEF or HFpEF),0.9,spacing_punctuation_normalization,639,Safe pattern/exact matching
condition,heart failure and moderate renal impairment,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,heart failure with atrial fibrillation,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,infantile colic,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,inflammatory bowel disease,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,inflammatory knee osteoarthritis,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,irritable bowel syndrome with predominant constipation (IBS-C),2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,irritable bowel syndrome with predominant constipation complaints (IBS-C),2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,ischaemic heart disease,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,kidney function decline in heart transplant recipients,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,knee osteoarthritis (KOA),2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,knee osteoarthritis (OA),2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,knee osteoarthritis pain,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,large vessel coronary artery disease,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,left main coronary artery disease or 3-vessel disease,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,long-diffuse coronary artery disease (ldCAD),2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,major depressive disorder (MDD),2,major depressive disorder,0.95,exact_normalized,771,Safe pattern/exact matching
condition,mild knee osteoarthritis,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,mild knee osteoarthritis (KOA),2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,milk sensitivity,2,milk sensitivity,0.95,exact_normalized,593,Safe pattern/exact matching
condition,non-ST-elevation acute coronary syndrome (NSTE-ACS) with congestive heart failure (CHF),2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,non-ST-segment-elevation acute coronary syndrome (NSTE-ACS) with multivessel coronary artery disease (MVD),2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,nonalcoholic fatty liver disease (NAFLD),2,nonalcoholic fatty liver disease (NAFLD),0.9,spacing_punctuation_normalization,735,Safe pattern/exact matching
condition,nonobstructive coronary artery disease (NOCAD),2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,oligoarticular juvenile idiopathic arthritis,2,oligoarticular juvenile idiopathic arthritis,0.95,exact_normalized,657,Safe pattern/exact matching
condition,opioid use disorder,2,opioid use disorder,0.95,exact_normalized,617,Safe pattern/exact matching
condition,patellofemoral pain syndrome,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,peptic ulcer disease,2,peptic ulcer disease,0.95,exact_normalized,764,Safe pattern/exact matching
condition,psoriatic arthritis,2,psoriatic arthritis,0.95,exact_normalized,570,Safe pattern/exact matching
condition,psoriatic arthritis (PsA),2,psoriatic arthritis,0.95,exact_normalized,570,Safe pattern/exact matching
condition,psychosocial needs,2,psychosocial needs,0.95,exact_normalized,587,Safe pattern/exact matching
condition,pulmonary arterial hypertension (PAH),2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,pulmonary embolism,2,pulmonary embolism,0.95,exact_normalized,705,Safe pattern/exact matching
condition,reflux esophagitis (RE),2,reflux esophagitis (RE),0.9,spacing_punctuation_normalization,797,Safe pattern/exact matching
condition,refractory angina,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,refractory irritable bowel syndrome (IBS),2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,renal anemia,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,scar-related ventricular tachycardia,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,septic shock,2,septic shock,0.95,exact_normalized,685,Safe pattern/exact matching
condition,severe Mycoplasma pneumoniae pneumonia (MPP),2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,severe aortic stenosis (AS),2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,severe asymptomatic aortic stenosis,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,stable CVD,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,stable coronary artery disease (CAD),2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,sudden cardiac death,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,treatment-resistant depression,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,"type 2 diabetes, heart failure, chronic kidney disease",2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
condition,uncontrolled hypertension,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,Kundalini Yoga (KY),19,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,osteopathic treatment,15,osteopathic treatment,0.95,exact_normalized,521,Safe pattern/exact matching
intervention,rifaximin,11,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,acupuncture,10,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,empagliflozin,10,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,SGLT2 inhibitors,9,SGLT2 inhibitors (SGLT2i),0.9,spacing_punctuation_normalization,258,Safe pattern/exact matching
intervention,antibiotics,9,Antibiotics,0.95,exact_normalized,812,Safe pattern/exact matching
intervention,synbiotics,9,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,dapagliflozin,8,dapagliflozin,0.95,exact_normalized,125,Safe pattern/exact matching
intervention,prebiotics,8,prebiotics,0.95,exact_normalized,345,Safe pattern/exact matching
intervention,flecainide,7,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,clopidogrel,6,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,statins,6,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,ticagrelor,6,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,colchicine,5,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,fecal microbiota transplantation (FMT),5,fecal microbiota transplantation,0.95,exact_normalized,440,Safe pattern/exact matching
intervention,methotrexate,5,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,Placebo,4,placebo,0.95,exact_normalized,4,Safe pattern/exact matching
intervention,aspirin,4,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,complete revascularization (CR),4,complete revascularization (CR),0.9,spacing_punctuation_normalization,210,Safe pattern/exact matching
intervention,neomycin,4,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,physical activity,4,Physical Activity,0.95,exact_normalized,813,Safe pattern/exact matching
intervention,Dapagliflozin,3,dapagliflozin,0.95,exact_normalized,125,Safe pattern/exact matching
intervention,Digital Therapeutics (DTx),3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,Faecal microbiota transplantation (FMT),3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,SGLT-2 inhibitors,3,SGLT2 inhibitors (SGLT2i),0.9,spacing_punctuation_normalization,258,Safe pattern/exact matching
intervention,Sodium-glucose cotransporter 2 inhibitors (SGLT2i),3,sodium-glucose co-transporter-2 inhibitors (SGLT2i),0.9,spacing_punctuation_normalization,257,Safe pattern/exact matching
intervention,Western medicine,3,Western medicine,0.95,exact_normalized,213,Safe pattern/exact matching
intervention,antidepressants,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,ciprofloxacin,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,exercise,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,finerenone,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,gluten-free diet,3,gluten-free diet,0.95,exact_normalized,476,Safe pattern/exact matching
intervention,guselkumab,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,high-intensity interval training (HIIT),3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,incomplete revascularization (IR),3,incomplete revascularization (IR),0.9,spacing_punctuation_normalization,211,Safe pattern/exact matching
intervention,low-FODMAP diet,3,low FODMAP diet (LFD),0.9,spacing_punctuation_normalization,468,Safe pattern/exact matching
intervention,melatonin,3,melatonin,0.95,exact_normalized,82,Safe pattern/exact matching
intervention,metformin,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,metronidazole,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,moxibustion,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,peppermint oil,3,peppermint oil,0.95,exact_normalized,433,Safe pattern/exact matching
intervention,repetitive transcranial magnetic stimulation (rTMS),3,repetitive transcranial magnetic stimulation (rTMS),0.9,spacing_punctuation_normalization,99,Safe pattern/exact matching
intervention,sertraline,3,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,social-media-based mental health interventions,3,social-media-based mental health interventions,0.95,exact_normalized,516,Safe pattern/exact matching
intervention,transcranial direct current stimulation (tDCS),3,transcranial direct current stimulation (tDCS),0.9,spacing_punctuation_normalization,510,Safe pattern/exact matching
intervention,AZD5462,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,Acacia fiber,2,Acacia fiber,0.95,exact_normalized,343,Safe pattern/exact matching
intervention,Bifidobacterium bifidum MIMBb75,2,Bifidobacterium bifidum MIMBb75,0.95,exact_normalized,417,Safe pattern/exact matching
intervention,CT angiography,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,Cardiac resynchronization therapy (CRT),2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,DASH diet,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,Danhong Injection,2,Danhong injection (DH),0.9,spacing_punctuation_normalization,378,Safe pattern/exact matching
intervention,Danhong injection (DH),2,Danhong injection (DH),0.9,spacing_punctuation_normalization,378,Safe pattern/exact matching
intervention,Dansenduofensuanyan injection (DSDFSY),2,Dansenduofensuanyan injection (DSDFSY),0.9,spacing_punctuation_normalization,380,Safe pattern/exact matching
intervention,Danshenchuanxiongqin injection (DSCXQ),2,Danshenchuanxiongqin injection (DSCXQ),0.9,spacing_punctuation_normalization,379,Safe pattern/exact matching
intervention,Empagliflozin,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,Eye Movement Desensitization and Reprocessing (EMDR),2,Eye Movement Desensitization and Reprocessing (EMDR),0.9,spacing_punctuation_normalization,103,Safe pattern/exact matching
intervention,Fecal Microbiota Transplantation (FMT),2,fecal microbiota transplantation,0.95,exact_normalized,440,Safe pattern/exact matching
intervention,Guanxinning injection (GXN),2,Guanxinning injection (GXN),0.9,spacing_punctuation_normalization,381,Safe pattern/exact matching
intervention,Jianpi Therapy (JP),2,Jianpi Therapy (JP),0.9,spacing_punctuation_normalization,529,Safe pattern/exact matching
intervention,Jianpiwenshen Therapy (JPWS),2,Jianpiwenshen Therapy (JPWS),0.9,spacing_punctuation_normalization,531,Safe pattern/exact matching
intervention,Lacticaseibacillus rhamnosus GG (LGG),2,Lacticaseibacillus rhamnosus GG (LGG),0.9,spacing_punctuation_normalization,369,Safe pattern/exact matching
intervention,Lactiplantibacillus plantarum 299v,2,Lactiplantibacillus plantarum 299v,0.95,exact_normalized,463,Safe pattern/exact matching
intervention,Lactobacillus acidophilus,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,Lactobacillus acidophilus DDS-1,2,Lactobacillus acidophilus DDS-1,0.95,exact_normalized,405,Safe pattern/exact matching
intervention,Lactobacillus gasseri LA806,2,Lactobacillus gasseri LA806,0.95,exact_normalized,438,Safe pattern/exact matching
intervention,Lactobacillus plantarum,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,Lactobacillus plantarum DSM 9843,2,Lactobacillus plantarum DSM 9843,0.95,exact_normalized,416,Safe pattern/exact matching
intervention,Limosilactobacillus (L.) reuteri DSM 17938,2,Limosilactobacillus (L.) reuteri DSM 17938,0.9,spacing_punctuation_normalization,367,Safe pattern/exact matching
intervention,M201-A,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,Mediterranean diet,2,Mediterranean diet,0.95,exact_normalized,5,Safe pattern/exact matching
intervention,Probiotics,2,Probiotics,0.95,exact_normalized,811,Safe pattern/exact matching
intervention,Selective serotonin reuptake inhibitors (SSRIs),2,Selective serotonin reuptake inhibitors (SSRIs),0.9,spacing_punctuation_normalization,8,Safe pattern/exact matching
intervention,Shenzhu Guanxin Granule,2,,0.0,no_match,,No safe or confident LLM match found - manual review needed
intervention,Shugan Therapy (SG),2,Shugan Therapy (SG),0.9,spacing_punctuation_normalization,530,Safe pattern/exact matching
intervention,Shuganjianpi Therapy (SGJP),2,Shuganjianpi Therapy (SGJP),0.9,spacing_punctuation_normalization,528,Safe pattern/exact matching
intervention,Silicolgel,2,Silicolgel,0.95,exact_normalized,168,Safe pattern/exact matching
